order_id,customer_id,store_id,employee_id,order_date,order_status
1,1,1,1,1/10/2025,Completed
2,2,2,3,1/12/2025,Completed
3,3,3,4,2/5/2025,Pending
4,1,1,2,2/10/2025,Completed
5,4,2,3,3/1/2025,Cancelled
6,115,6,10,11/6/2025,Completed
7,155,1,2,10/23/2025,Completed
8,167,4,5,8/29/2025,Completed
9,27,3,4,6/15/2025,Completed
10,165,4,5,4/15/2025,Completed
11,66,6,9,6/9/2025,Completed
12,34,4,5,11/28/2025,Completed
13,53,5,7,2/5/2025,Completed
14,119,5,8,6/26/2025,Completed
15,185,4,6,12/6/2025,Pending
16,117,1,2,1/8/2025,Cancelled
17,164,6,10,11/29/2025,Completed
18,22,2,3,4/27/2025,Cancelled
19,47,6,10,1/15/2025,Completed
20,149,6,9,3/29/2025,Completed
21,132,5,7,4/29/2025,Completed
22,118,3,4,11/24/2025,Completed
23,96,5,8,12/25/2025,Completed
24,149,6,9,11/7/2025,Cancelled
25,165,6,9,6/8/2025,Completed
26,28,3,4,8/1/2025,Completed
27,47,3,4,6/1/2025,Cancelled
28,106,1,2,10/2/2025,Completed
29,88,5,7,11/28/2025,Completed
30,142,2,3,8/21/2025,Completed
31,60,4,6,5/1/2025,Completed
32,20,4,6,4/8/2025,Completed
33,57,1,1,10/28/2025,Completed
34,42,2,3,3/31/2025,Completed
35,155,3,4,3/31/2025,Completed
36,195,1,2,8/18/2025,Refunded
37,82,4,5,2/1/2025,Completed
38,164,6,10,7/15/2025,Completed
39,115,4,5,7/31/2025,Completed
40,22,1,1,2/17/2025,Completed
41,147,1,2,12/10/2025,Completed
42,44,6,10,4/25/2025,Completed
43,201,5,7,11/8/2025,Pending
44,149,6,10,2/5/2025,Completed
45,112,4,6,3/22/2025,Completed
46,17,6,9,5/20/2025,Completed
47,129,5,8,1/24/2025,Completed
48,132,6,10,3/31/2025,Completed
49,122,1,2,10/22/2025,Completed
50,27,4,5,5/5/2025,Completed
51,140,5,7,6/28/2025,Completed
52,44,6,9,4/1/2025,Refunded
53,118,6,10,5/21/2025,Completed
54,123,4,5,1/30/2025,Completed
55,120,5,7,6/14/2025,Completed
56,186,4,6,9/26/2025,Completed
57,18,6,10,2/3/2025,Completed
58,190,6,9,6/20/2025,Completed
59,84,5,8,11/26/2025,Completed
60,9,3,4,4/3/2025,Completed
61,134,5,7,12/5/2025,Completed
62,47,6,10,1/23/2025,Completed
63,66,3,4,4/10/2025,Completed
64,18,6,10,7/10/2025,Completed
65,77,1,1,5/20/2025,Completed
66,111,1,2,9/15/2025,Completed
67,187,6,10,3/16/2025,Completed
68,199,6,10,8/18/2025,Completed
69,43,5,8,2/26/2025,Refunded
70,33,4,5,11/20/2025,Completed
71,66,5,8,4/6/2025,Pending
72,144,5,7,7/19/2025,Completed
73,196,1,2,2/4/2025,Completed
74,39,1,2,10/7/2025,Completed
75,39,1,2,1/19/2025,Completed
76,106,5,8,5/10/2025,Completed
77,99,4,6,8/14/2025,Completed
78,25,4,5,10/7/2025,Completed
79,94,4,5,6/30/2025,Completed
80,160,6,10,1/18/2025,Completed
81,150,1,1,12/14/2025,Completed
82,171,3,4,2/28/2025,Completed
83,185,4,5,11/10/2025,Completed
84,145,5,8,6/3/2025,Completed
85,65,4,5,7/4/2025,Completed
86,139,4,6,10/22/2025,Completed
87,93,2,3,3/8/2025,Completed
88,82,2,3,6/15/2025,Cancelled
89,75,2,3,11/11/2025,Completed
90,44,2,3,10/16/2025,Completed
91,72,6,9,10/20/2025,Completed
92,128,2,3,6/2/2025,Completed
93,111,4,6,4/15/2025,Completed
94,199,3,4,6/13/2025,Completed
95,45,3,4,4/8/2025,Refunded
96,28,4,6,5/4/2025,Completed
97,115,2,3,7/7/2025,Refunded
98,200,5,8,11/16/2025,Pending
99,91,5,8,3/15/2025,Completed
100,88,5,8,3/25/2025,Completed
101,9,3,4,12/11/2025,Completed
102,154,4,5,9/26/2025,Completed
103,110,6,9,7/30/2025,Completed
104,122,5,8,10/7/2025,Completed
105,185,2,3,6/12/2025,Completed
106,93,2,3,1/22/2025,Completed
107,196,4,5,4/14/2025,Completed
108,17,6,9,11/23/2025,Completed
109,30,6,9,1/3/2025,Completed
110,87,3,4,2/15/2025,Pending
111,14,4,6,4/6/2025,Cancelled
112,134,4,6,4/9/2025,Completed
113,150,6,9,3/31/2025,Completed
114,71,4,5,8/17/2025,Refunded
115,20,6,9,8/27/2025,Completed
116,168,3,4,11/11/2025,Completed
117,184,5,8,10/3/2025,Pending
118,140,6,10,2/9/2025,Completed
119,151,5,7,3/26/2025,Completed
120,136,4,6,10/16/2025,Completed
121,16,4,6,12/25/2025,Completed
122,109,2,3,11/25/2025,Cancelled
123,5,1,2,8/26/2025,Pending
124,162,1,1,4/16/2025,Completed
125,177,6,9,5/6/2025,Cancelled
126,40,5,8,4/30/2025,Cancelled
127,75,1,1,11/17/2025,Pending
128,52,5,8,5/4/2025,Completed
129,39,4,5,5/11/2025,Completed
130,101,6,9,2/7/2025,Completed
131,194,1,2,5/5/2025,Pending
132,141,6,10,6/7/2025,Completed
133,85,4,5,10/16/2025,Completed
134,80,2,3,6/18/2025,Completed
135,192,3,4,3/13/2025,Cancelled
136,22,6,9,1/5/2025,Completed
137,9,5,8,10/2/2025,Completed
138,32,1,1,5/4/2025,Completed
139,183,2,3,12/17/2025,Completed
140,146,4,5,11/23/2025,Completed
141,140,1,1,4/19/2025,Pending
142,155,2,3,2/9/2025,Completed
143,89,4,5,12/19/2025,Cancelled
144,64,1,2,11/6/2025,Refunded
145,52,6,10,2/13/2025,Refunded
146,194,4,6,7/4/2025,Completed
147,199,3,4,3/9/2025,Completed
148,11,1,2,10/11/2025,Completed
149,138,2,3,3/28/2025,Completed
150,128,1,2,5/9/2025,Completed
151,117,3,4,11/30/2025,Completed
152,50,4,6,5/30/2025,Cancelled
153,11,6,10,12/29/2025,Completed
154,173,2,3,7/13/2025,Completed
155,157,6,9,2/25/2025,Refunded
156,170,6,10,6/19/2025,Completed
157,135,6,9,8/17/2025,Completed
158,34,6,9,6/28/2025,Completed
159,86,1,2,1/23/2025,Cancelled
160,194,2,3,10/10/2025,Completed
161,106,1,1,8/19/2025,Completed
162,88,2,3,2/28/2025,Completed
163,163,2,3,11/11/2025,Completed
164,66,3,4,4/4/2025,Completed
165,113,2,3,11/22/2025,Completed
166,120,5,7,7/3/2025,Completed
167,26,5,7,4/23/2025,Completed
168,48,4,6,10/9/2025,Completed
169,98,5,7,8/14/2025,Completed
170,94,1,2,3/2/2025,Refunded
171,166,4,5,11/12/2025,Completed
172,157,5,7,6/15/2025,Cancelled
173,184,2,3,3/16/2025,Cancelled
174,120,1,1,7/26/2025,Completed
175,167,6,10,2/2/2025,Completed
176,92,6,9,1/24/2025,Completed
177,28,6,10,5/9/2025,Completed
178,185,1,1,4/20/2025,Completed
179,179,4,5,1/5/2025,Pending
180,31,3,4,6/3/2025,Completed
181,189,2,3,7/30/2025,Completed
182,170,1,1,10/11/2025,Completed
183,80,6,9,5/3/2025,Completed
184,112,3,4,8/30/2025,Refunded
185,72,2,3,1/31/2025,Completed
186,44,3,4,6/8/2025,Completed
187,84,6,10,5/3/2025,Completed
188,84,6,9,3/3/2025,Completed
189,189,3,4,7/10/2025,Completed
190,187,5,7,9/12/2025,Completed
191,63,6,9,1/23/2025,Completed
192,146,6,10,4/25/2025,Completed
193,35,5,7,4/2/2025,Completed
194,203,3,4,2/14/2025,Completed
195,131,2,3,3/19/2025,Completed
196,140,2,3,9/9/2025,Completed
197,110,6,10,8/23/2025,Cancelled
198,24,5,7,8/11/2025,Pending
199,184,6,10,6/12/2025,Completed
200,120,4,6,7/28/2025,Completed
201,180,3,4,4/21/2025,Completed
202,178,3,4,3/31/2025,Completed
203,38,2,3,7/10/2025,Pending
204,10,1,1,11/27/2025,Completed
205,48,5,8,7/22/2025,Completed
206,59,2,3,5/24/2025,Completed
207,132,4,6,2/1/2025,Completed
208,102,6,10,9/3/2025,Completed
209,19,4,6,10/27/2025,Completed
210,200,2,3,7/1/2025,Completed
211,185,6,10,10/18/2025,Completed
212,14,1,1,4/30/2025,Completed
213,38,3,4,6/15/2025,Completed
214,203,1,2,2/7/2025,Completed
215,49,6,10,4/25/2025,Pending
216,184,5,8,10/18/2025,Completed
217,41,3,4,5/2/2025,Completed
218,94,3,4,1/1/2025,Completed
219,152,6,9,3/25/2025,Completed
220,86,3,4,2/7/2025,Completed
221,162,4,5,8/9/2025,Pending
222,53,4,6,12/5/2025,Completed
223,97,1,2,2/14/2025,Completed
224,174,3,4,11/25/2025,Completed
225,43,6,9,2/13/2025,Pending
226,112,5,8,10/21/2025,Completed
227,198,4,5,3/27/2025,Completed
228,157,3,4,2/4/2025,Completed
229,33,4,5,3/17/2025,Completed
230,78,5,8,7/30/2025,Completed
231,14,4,6,12/20/2025,Completed
232,10,3,4,6/9/2025,Completed
233,53,4,5,7/28/2025,Cancelled
234,150,1,1,4/9/2025,Completed
235,97,6,9,5/21/2025,Completed
236,155,5,8,6/26/2025,Completed
237,204,2,3,11/28/2025,Completed
238,126,2,3,11/4/2025,Completed
239,94,4,6,4/22/2025,Completed
240,148,6,10,6/2/2025,Pending
241,168,3,4,5/14/2025,Pending
242,189,1,2,6/1/2025,Completed
243,176,3,4,3/29/2025,Pending
244,200,2,3,12/2/2025,Completed
245,154,3,4,3/2/2025,Completed
246,23,4,5,9/14/2025,Completed
247,188,2,3,9/7/2025,Completed
248,199,2,3,9/8/2025,Refunded
249,108,4,6,7/16/2025,Completed
250,8,3,4,1/10/2025,Pending
251,84,2,3,7/16/2025,Completed
252,91,4,5,6/25/2025,Completed
253,155,5,7,3/5/2025,Completed
254,164,1,1,12/5/2025,Completed
255,102,1,2,8/31/2025,Pending
256,174,5,8,11/15/2025,Completed
257,34,1,2,4/12/2025,Completed
258,80,2,3,10/8/2025,Completed
259,33,5,8,3/18/2025,Completed
260,121,3,4,8/26/2025,Completed
261,79,3,4,8/7/2025,Cancelled
262,89,3,4,11/15/2025,Completed
263,107,4,6,5/20/2025,Completed
264,150,6,10,4/3/2025,Completed
265,172,3,4,12/27/2025,Pending
266,174,6,9,9/4/2025,Completed
267,24,4,6,5/4/2025,Completed
268,118,5,8,2/15/2025,Completed
269,159,5,8,9/18/2025,Completed
270,62,4,6,10/14/2025,Refunded
271,100,6,9,1/24/2025,Completed
272,60,4,5,6/23/2025,Completed
273,140,6,9,10/11/2025,Completed
274,134,4,6,11/8/2025,Pending
275,40,4,6,12/26/2025,Completed
276,177,2,3,9/15/2025,Completed
277,177,6,10,8/5/2025,Completed
278,176,1,1,5/17/2025,Refunded
279,57,5,7,7/3/2025,Completed
280,195,6,10,5/2/2025,Completed
281,8,6,10,4/14/2025,Completed
282,50,6,9,4/6/2025,Completed
283,147,3,4,3/24/2025,Completed
284,174,3,4,10/21/2025,Completed
285,45,4,6,2/17/2025,Completed
286,197,5,8,10/15/2025,Refunded
287,169,5,7,1/21/2025,Pending
288,202,3,4,9/7/2025,Completed
289,165,1,1,12/10/2025,Completed
290,170,1,1,1/13/2025,Completed
291,104,4,6,8/10/2025,Completed
292,169,6,9,10/27/2025,Completed
293,180,3,4,5/25/2025,Refunded
294,80,6,9,6/2/2025,Pending
295,145,1,2,4/18/2025,Cancelled
296,34,2,3,10/9/2025,Completed
297,55,6,10,6/19/2025,Completed
298,54,3,4,8/19/2025,Completed
299,6,3,4,4/24/2025,Cancelled
300,170,5,7,5/24/2025,Completed
301,166,1,2,10/30/2025,Completed
302,125,6,9,7/7/2025,Completed
303,28,4,6,9/15/2025,Completed
304,45,2,3,9/5/2025,Completed
305,72,3,4,1/22/2025,Pending
